SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
14,01/22/2020,Hubei,Mainland China,1/22/2020 17:00,444.0,17.0,28.0
52,01/23/2020,Hubei,Mainland China,1/23/20 17:00,444.0,17.0,28.0
85,01/24/2020,Hubei,Mainland China,1/24/20 17:00,549.0,24.0,31.0
126,01/25/2020,Hubei,Mainland China,1/25/20 17:00,761.0,40.0,32.0
170,01/26/2020,Hubei,Mainland China,1/26/20 16:00,1058.0,52.0,42.0
217,01/27/2020,Hubei,Mainland China,1/27/20 23:59,1423.0,76.0,45.0
268,01/28/2020,Hubei,Mainland China,1/28/20 23:00,3554.0,125.0,80.0
320,01/29/2020,Hubei,Mainland China,1/29/20 19:30,3554.0,125.0,88.0
374,01/30/2020,Hubei,Mainland China,1/30/20 16:00,4903.0,162.0,90.0
432,01/31/2020,Hubei,Mainland China,1/31/2020 23:59,5806.0,204.0,141.0
494,02/01/2020,Hubei,Mainland China,2/1/2020 11:53,7153.0,249.0,168.0
561,02/02/2020,Hubei,Mainland China,2020-02-02T23:43:02,11177.0,350.0,295.0
628,02/03/2020,Hubei,Mainland China,2020-02-03T23:23:03,13522.0,414.0,386.0
696,02/04/2020,Hubei,Mainland China,2020-02-04T23:43:01,16678.0,479.0,522.0
766,02/05/2020,Hubei,Mainland China,2020-02-05T23:13:12,19665.0,549.0,633.0
837,02/06/2020,Hubei,Mainland China,2020-02-06T23:23:02,22112.0,618.0,817.0
908,02/07/2020,Hubei,Mainland China,2020-02-07T23:43:02,24953.0,699.0,1115.0
980,02/08/2020,Hubei,Mainland China,2020-02-08T23:33:06,27100.0,780.0,1439.0
1052,02/09/2020,Hubei,Mainland China,2020-02-09T23:33:02,29631.0,871.0,1795.0
1124,02/10/2020,Hubei,Mainland China,2020-02-10T23:33:02,31728.0,974.0,2222.0
1196,02/11/2020,Hubei,Mainland China,2020-02-11T23:33:02,33366.0,1068.0,2639.0
1269,02/12/2020,Hubei,Mainland China,2020-02-12T14:13:08,33366.0,1068.0,2686.0
1342,02/13/2020,Hubei,Mainland China,2020-02-13T14:13:06,48206.0,1310.0,3459.0
1416,02/14/2020,Hubei,Mainland China,2020-02-14T23:33:02,54406.0,1457.0,4774.0
1491,02/15/2020,Hubei,Mainland China,2020-02-15T23:13:05,56249.0,1596.0,5623.0
1566,02/16/2020,Hubei,Mainland China,2020-02-16T23:53:01,58182.0,1696.0,6639.0
1641,02/17/2020,Hubei,Mainland China,2020-02-17T23:13:06,59989.0,1789.0,7862.0
1716,02/18/2020,Hubei,Mainland China,2020-02-18T23:13:11,61682.0,1921.0,9128.0
1791,02/19/2020,Hubei,Mainland China,2020-02-19T23:23:02,62031.0,2029.0,10337.0
1867,02/20/2020,Hubei,Mainland China,2020-02-20T23:43:02,62442.0,2144.0,11788.0
1943,02/21/2020,Hubei,Mainland China,2020-02-21T13:03:09,62662.0,2144.0,11881.0
2027,02/22/2020,Hubei,Mainland China,2020-02-22T23:33:06,64084.0,2346.0,15299.0
2111,02/23/2020,Hubei,Mainland China,2020-02-23T11:33:03,64084.0,2346.0,15343.0
2196,02/24/2020,Hubei,Mainland China,2020-02-24T11:13:09,64287.0,2495.0,16748.0
2286,02/25/2020,Hubei,Mainland China,2020-02-25T15:23:04,64786.0,2563.0,18971.0
2380,02/26/2020,Hubei,Mainland China,2020-02-26T14:13:10,65187.0,2615.0,20969.0
2481,02/27/2020,Hubei,Mainland China,2020-02-27T12:13:14,65596.0,2641.0,23383.0
2586,02/28/2020,Hubei,Mainland China,2020-02-28T00:43:01,65914.0,2682.0,26403.0
2700,02/29/2020,Hubei,Mainland China,2020-02-29T12:13:10,66337.0,2727.0,28993.0
2819,03/01/2020,Hubei,Mainland China,2020-03-01T10:13:19,66907.0,2761.0,31536.0
2944,03/02/2020,Hubei,Mainland China,2020-03-02T15:03:23,67103.0,2803.0,33934.0
3085,03/03/2020,Hubei,Mainland China,2020-03-03T11:43:02,67217.0,2835.0,36208.0
3236,03/04/2020,Hubei,Mainland China,2020-03-04T12:53:03,67332.0,2871.0,38557.0
3396,03/05/2020,Hubei,Mainland China,2020-03-05T14:53:03,67466.0,2902.0,40592.0
3569,03/06/2020,Hubei,Mainland China,2020-03-06T14:23:04,67592.0,2931.0,42033.0
3768,03/07/2020,Hubei,Mainland China,2020-03-07T11:13:04,67666.0,2959.0,43500.0
3993,03/08/2020,Hubei,Mainland China,2020-03-08T14:43:03,67707.0,2986.0,45235.0
4248,03/09/2020,Hubei,Mainland China,2020-03-09T14:33:03,67743.0,3008.0,46488.0
4514,03/10/2020,Hubei,Mainland China,2020-03-10T15:13:05,67760.0,3024.0,47743.0
4720,03/11/2020,Hubei,Mainland China,2020-03-11T10:53:02,67773.0,3046.0,49134.0
4936,03/12/2020,Hubei,Mainland China,2020-03-12T09:53:06,67781.0,3056.0,50318.0
5154,03/13/2020,Hubei,Mainland China,2020-03-13T11:09:03,67786.0,3062.0,51553.0
5384,03/14/2020,Hubei,Mainland China,2020-03-14T10:13:09,67790.0,3075.0,52960.0
5633,03/15/2020,Hubei,Mainland China,2020-03-15T18:20:18,67794.0,3085.0,54288.0
5891,03/16/2020,Hubei,Mainland China,2020-03-16T14:38:45,67798.0,3099.0,55142.0
6163,03/17/2020,Hubei,Mainland China,2020-03-17T11:53:10,67799.0,3111.0,56003.0
6439,03/18/2020,Hubei,Mainland China,2020-03-18T12:13:09,67800.0,3122.0,56927.0
6723,03/19/2020,Hubei,Mainland China,2020-03-19T10:13:14,67800.0,3130.0,57682.0
7015,03/20/2020,Hubei,Mainland China,2020-03-20T07:43:02,67800.0,3133.0,58382.0
7314,03/21/2020,Hubei,Mainland China,2020-03-21T10:13:08,67800.0,3139.0,58946.0
7618,03/22/2020,Hubei,Mainland China,2020-03-22T09:43:06,67800.0,3144.0,59433.0
11133,03/23/2020,Hubei,Mainland China,2020-03-23 05:06:15,67800.0,3153.0,59882.0
